1|3|6|.|.|9|19|24|.|.|11|13|16|.|.|4|10|20|.|.|17|22|14|.|.
2|5|.|.|10|20|7|.|.|11|14|1|.|.|21|9|6|.|.|15|3|12|.|.|.
4|.|.|9|11|22|.|.|8|16|10|.|.|12|6|13|.|.|3|18|2|.|.|5|.
.|.|8|12|15|.|.|13|2|5|.|.|22|3|24|.|.|1|7|17|.|.|.|4|19
.|7|13|14|.|.|1|6|12|.|.|2|23|4|.|.|5|21|16|.|.|.|.|9|18
3|11|4|.|.|7|16|15|.|.|17|23|8|.|.|18|12|10|.|.|.|1|.|.|2
20|22|.|.|12|23|13|.|.|19|4|5|.|.|1|11|16|.|.|.|.|15|6|.|.
6|.|.|5|16|10|.|.|17|9|15|.|.|19|25|8|.|.|.|.|.|4|20|3|.
.|.|10|13|2|.|.|4|3|12|.|.|6|22|7|.|.|.|.|.|.|.|8|21|11
.|25|15|1|.|.|5|21|14|.|.|11|10|18|.|.|.|17|2|19|.|.|.|16|12
5|8|14|.|.|3|9|22|.|.|12|17|15|.|.|.|21|2|24|.|.|.|.|.|25
7|19|.|.|18|21|8|.|.|17|13|24|.|.|.|5|20|6|.|.|22|14|1|.|.
.|.|.|10|1|14|.|.|19|4|22|.|.|.|2|12|3|.|.|9|7|17|.|.|.
.|.|12|2|22|.|.|5|1|18|.|.|.|14|9|10|.|.|19|13|8|.|.|23|4
17|.|.|.|.|.|12|20|10|.|.|.|18|6|11|.|.|15|4|14|.|.|9|13|16
16|13|.|.|.|19|15|14|.|.|.|6|2|20|.|.|9|11|1|.|.|7|12|24|.
8|14|7|.|.|.|.|.|.|.|3|16|12|.|.|17|2|4|.|.|1|23|11|.|.
.|1|2|3|.|.|.|.|.|6|19|4|.|.|23|25|15|.|.|5|21|10|.|.|8
.|.|11|4|.|.|.|.|24|10|21|.|.|15|17|7|.|.|14|16|9|.|.|6|5
9|.|.|23|.|.|.|17|11|1|.|.|7|8|5|.|.|3|13|6|.|.|2|18|22
10|23|.|.|.|.|21|1|9|.|.|3|14|16|.|.|8|22|5|.|.|13|19|7|.
15|4|.|.|.|11|3|12|.|.|2|8|17|.|.|16|18|7|.|.|23|6|22|.|.
.|9|.|.|14|4|6|.|.|23|5|15|.|.|22|19|1|.|.|12|20|11|.|.|17
.|.|.|22|5|16|.|.|7|24|23|.|.|21|12|6|.|.|15|3|18|.|.|10|14
.|.|3|6|7|.|.|19|20|2|.|.|13|9|18|.|.|23|17|4|.|.|25|15|21
